,Baseline avg.,Online bias,Pct change
air_temperature,251.31246376158447,-0.11420050253946117,-0.05
specific_humidity,0.002590811465862216,-7.289449578014507e-07,-0.03
cloud_water_mixing_ratio,9.604043137543732e-06,2.0635854785946122e-07,2.15
total_precipitation,3.16291226910337e-05,3.153312041691862e-07,1.0
h500,5660.707389392814,-1.8877853393554445,-0.03
USWRFtoa,91.94634745711312,1.3373816463682382,1.45
ULWRFtoa,236.87735584526544,-1.3987861050499815,-0.59
PWAT,26.308176676608216,-0.006689331928889011,-0.03
pressure_thickness_of_atmospheric_layer,1455.318456362307,-0.0011795733781361328,-0.0
net_outgoing,328.8237031857967,-0.061404228210451155,-0.02
